,CarPrice,CarMileage,VIN,TimeStamp,Source,Make,Model,Year,Trim,ExteriorColorGeneral,InteriorColorGeneral,DrivetrainGeneral,FuelTypeGeneral,TransmissionGeneral,EngineSize,EngineConfiguration,Fuel System,Turbocharged,Hybrid,ZipLocation
375,27006.0,102195,1GNSKHKC7HR282225,2023-11-12 20:15:55.175293+00:00,Cars.com,CHEVROLET,Suburban,2017,,Black,Other,4WD,Gasoline,Automatic,5.3L,,,0,0,
376,23991.0,8239,1G1ZG5ST6MF038495,2023-11-24 21:37:50.559661+00:00,Cars.com,CHEVROLET,Malibu,2021,,Black,Other,Other,Gasoline,Other,,,,0,0,02045
377,23995.0,57264,WBA4J3C59JBL03918,2023-11-12 16:55:09.074471+00:00,Cars.com,BMW,430i,2018,430i xDrive GC,White,Brown,AWD,Gasoline,Automatic,,,,0,0,
378,46735.0,62882,JTJHY7AX4F4179903,2023-11-12 16:52:35.339893+00:00,Cars.com,LEXUS,LX,2015,570,Black,Other,4WD,Gasoline,Automatic,5.7L,,,0,0,
379,24772.0,18400,3C4NJDBB4LT165209,2023-11-24 22:12:26.588962+00:00,Cars.com,JEEP,Compass,2020,MP,Gray,Black,4WD,Gasoline,Automatic,2.4L,I4,MPFI,0,0,01464
380,18489.0,130128,JTEBU5JR9B5060593,2023-11-12 17:41:22.919722+00:00,Cars.com,TOYOTA,4-Runner,2011,,Gray,Black,4WD,Gasoline,Automatic,4.0L,V6,MPFI,0,0,
381,56995.0,32587,1FMJK1MT7MEA12515,2023-11-12 17:41:49.058157+00:00,Cars.com,FORD,Expedition MAX,2021,,White,Other,4WD,Gasoline,Automatic,3.5L,V6,DI,1,0,
382,19777.0,40627,3HGGK5H89LM726927,2023-11-24 21:36:11.342337+00:00,Cars.com,HONDA,Fit,2020,EX,Gray,Black,FWD,Gasoline,Automatic,1.5L,I4,GDI,0,0,02045
383,22707.0,23578,2HGFC2F81MH550627,2023-11-12 21:45:47.533365+00:00,Cars.com,HONDA,Civic,2021,Sport,Gray,Black,FWD,Gasoline,Automatic,2.0L,I4,MPFI,0,0,02191
384,28699.0,17379,7MUBAABG1NV007359,2023-11-12 17:43:42.161460+00:00,Cars.com,TOYOTA,COROLLA CROSS,2022,LE,Gray,Gray,AWD,Gasoline,Automatic,2.0L,I4,DI,0,0,
385,36650.0,43929,5TFCZ5AN5MX263141,2023-11-24 22:09:54.987776+00:00,Cars.com,TOYOTA,Tacoma,2021,SR5 grade,Gray,Red,4WD,Gasoline,Automatic,3.5L,V6,DI,0,0,01464
386,190000.0,9334,W1NYC7HJ5MX397176,2023-11-12 21:45:15.469807+00:00,Cars.com,MERCEDES-BENZ,G-Class,2021,AMG G63,White,Red,AWD,Gasoline,Automatic,,,,0,0,02191
387,84500.0,15600,2C3CDZL94LH250300,2023-11-12 21:44:15.199968+00:00,Cars.com,DODGE,Challenger,2020,LA,White,Black,RWD,Gasoline,Automatic,6.2L,,,0,0,02191
388,23998.0,112899,1GNSKBKC2HR124730,2023-11-12 17:39:59.977254+00:00,Cars.com,CHEVROLET,Tahoe,2017,,Gray,Other,4WD,Gasoline,Automatic,5.3L,V8,GDI,0,0,
389,21700.0,75291,JN8CS1MW9FM480864,2023-11-24 22:33:41.123794+00:00,Cars.com,INFINITI,QX70,2015,,Black,Gray,AWD,Gasoline,Automatic,3.7L,V6,MPFI,0,0,01237
